id	name	type	type_general	species	kingdom	product_names	product_counts	most_unique_product_name	most_unique_product_count
A0A023J8Z5	Delta guaiene synthase	sesq	sesq	Aquilaria microcarpa	Plantae	δ-guaiene; germacrene A; α-humulene	[8, 6, 2]	α-humulene	2
A0A059PYD5	Caryophyllene synthase	mono	mono	Artemisia annua	Plantae	β-phellandrene	[13]	β-phellandrene	13
A0A067SEC9	Sesquiterpene synthase GALMADRAFT_104215	sesq	sesq	Galerina marginata	Fungi	β-gurjunene	[1]	β-gurjunene	1
A0A075FA51	(+)-copalyl diphosphate synthase 3, chloroplastic	di-int	di	Marrubium vulgare	Plantae	5α,9α,10β-labda-8(20),13-dien-15-yl diphosphate(3−)	[16]	5α,9α,10β-labda-8(20),13-dien-15-yl diphosphate(3−)	16
A0A075FAK4	Peregrinol diphosphate synthase CPS1	di-int	di	Marrubium vulgare	Plantae	peregrinol diphosphate(3−)	[2]	peregrinol diphosphate(3−)	2
A0A075FBG7	9,13-epoxylabda-14-ene synthase	di	di	Marrubium vulgare	Plantae	9,13(R)-epoxylabd-14-ene; miltiradiene; (13R)-Manoyl oxide	[2, 9, 3]	9,13(R)-epoxylabd-14-ene	2
A0A075W0Z3	Sesquiterpene synthase 1	sesq	sesq	Matricaria chamomilla var. recutita	Plantae	(+)-epi-α-bisabolol	[3]	(+)-epi-α-bisabolol	3
A0A075W3D9	Sesquiterpene synthase 4	sesq	sesq	Matricaria chamomilla	Plantae	bicyclogermacrene	[8]	bicyclogermacrene	8
A0A076GAR6	Terpene synthase	sesq	sesq	Populus trichocarpa	Plantae	(−)-β-elemene	[26]	(−)-β-elemene	26
A0A076GAU5	Terpene synthase	sesq	sesq	Populus trichocarpa	Plantae	elemol	[5]	elemol	5
A0A076GAU9	Terpene synthase	sesq	sesq	Populus trichocarpa	Plantae	γ-curcumene	[8]	γ-curcumene	8
A0A076GBT5	Terpene synthase	sesq	sesq	Populus trichocarpa	Plantae	(−)-β-caryophyllene	[64]	(−)-β-caryophyllene	64
A0A076KZH5	Terpene synthase	sesq	sesq	Oryza barthii	Plantae	(−)-β-caryophyllene	[64]	(−)-β-caryophyllene	64
A0A076KZS5	Terpene synthase	sesq	sesq	Oryza officinalis	Plantae	(−)-β-caryophyllene; (−)-germacrene A	[64, 24]	(−)-germacrene A	24
A0A076L4M0	Terpene synthase	sesq	sesq	Oryza glaberrima	Plantae	(−)-β-caryophyllene; (−)-germacrene A	[64, 24]	(−)-germacrene A	24
A0A076L4Z9	Terpene synthase	sesq	sesq	Oryza nivara	Plantae	(−)-β-caryophyllene	[64]	(−)-β-caryophyllene	64
A0A076L503	Terpene synthase	sesq	sesq	Oryza glumipatula	Plantae	(−)-β-caryophyllene; (−)-germacrene A	[64, 24]	(−)-germacrene A	24
A0A076L784	Terpene synthase	sesq	sesq	Oryza rufipogon	Plantae	(−)-germacrene D; (−)-germacrene A	[24, 24]	(−)-germacrene D	24
A0A097ZIE0	Delta-elemene synthase	sesq	sesq	Citrus jambhiri	Plantae	δ-elemene	[4]	δ-elemene	4
A0A0A0QUT9	Putative delta-guaiene synthase	sesq	sesq	Aquilaria sinensis	Plantae	(−)-germacrene A; δ-guaiene	[24, 8]	δ-guaiene	8
A0A0A0RCB5	Sesquisabinene B synthase 2	sesq	sesq	Santalum album	Plantae	sesquisabinene B	[5]	sesquisabinene B	5
A0A0A0RDR2	Sesquisabinene B synthase 1	sesq	sesq	Santalum album	Plantae	sesquisabinene B	[5]	sesquisabinene B	5
A0A0A0RDZ8	Beta-bisabolene synthase	sesq	sesq	Santalum album	Plantae	(S)-β-bisabolene	[16]	(S)-β-bisabolene	16
A0A0A7DNH6	(+)-delta-cadinene synthase	sesq	sesq	Gossypium hirsutum	Plantae	(+)-δ-cadinene	[20]	(+)-δ-cadinene	20
