From	Entry	Entry Name	Organism (ID)	Organism
X5AHD9	X5AHD9	X5AHD9_9LAMI	41228	Plectranthus barbatus
X5A4D6	X5A4D6	X5A4D6_9LAMI	41228	Plectranthus barbatus
X5A2Z7	X5A2Z7	X5A2Z7_9LAMI	41228	Plectranthus barbatus
X4ZWN5	X4ZWN5	X4ZWN5_9LAMI	41228	Plectranthus barbatus
W8QMF8	W8QMF8	W8QMF8_ROSOF	39367	Rosmarinus officinalis (Rosemary) (Salvia rosmarinus)
W8QEG7	W8QEG7	W8QEG7_ROSOF	39367	Rosmarinus officinalis (Rosemary) (Salvia rosmarinus)
S0EGZ9	S0EGZ9	FFSC6_GIBF5	1279085	Gibberella fujikuroi (strain CBS 195.34 / IMI 58289 / NRRL A-6831) (Bakanae and foot rot disease fungus) (Fusarium fujikuroi)
S0ECT9	S0ECT9	FFSC4_GIBF5	1279085	Gibberella fujikuroi (strain CBS 195.34 / IMI 58289 / NRRL A-6831) (Bakanae and foot rot disease fungus) (Fusarium fujikuroi)
S0EA85	S0EA85	GA6_GIBF5	1279085	Gibberella fujikuroi (strain CBS 195.34 / IMI 58289 / NRRL A-6831) (Bakanae and foot rot disease fungus) (Fusarium fujikuroi)
S0DX56	S0DX56	EREMS_GIBF5	1279085	Gibberella fujikuroi (strain CBS 195.34 / IMI 58289 / NRRL A-6831) (Bakanae and foot rot disease fungus) (Fusarium fujikuroi)
Q9UVY5	Q9UVY5	CPSKS_GIBFU	5127	Gibberella fujikuroi (Bakanae and foot rot disease fungus) (Fusarium fujikuroi)
Q9HGZ6	Q9HGZ6	FDFT_CANGA	284593	Candida glabrata (strain ATCC 2001 / BCRC 20586 / JCM 3761 / NBRC 0622 / NRRL Y-65 / CBS 138) (Yeast) (Nakaseomyces glabratus)
Q9FUW5	Q9FUW5	Q9FUW5_9LAMI	2849020	Nepeta tenuifolia
Q9FT37	Q9FT37	TASY_TAXCH	29808	Taxus chinensis (Chinese yew) (Taxus wallichiana var. chinensis)
Q9AR86	Q9AR86	ISPS_POPCN	80863	Populus canescens (Grey poplar) (Populus tremula x Populus alba)
Q96WT2	Q96WT2	ACS_NEOBT	1979465	Neocamarosporium betae (Beet black rot fungus) (Pleospora betae)
Q8LSC2	Q8LSC2	GASS_CICIN	13427	Cichorium intybus (Chicory)
Q8L5K4	Q8L5K4	GTPS_CITLI	2708	Citrus limon (Lemon) (Citrus medica var. limon)
Q8L5K3	Q8L5K3	RLC1_CITLI	2708	Citrus limon (Lemon) (Citrus medica var. limon)
Q8L5K2	Q8L5K2	Q8L5K2_CITLI	2708	Citrus limon (Lemon) (Citrus medica var. limon)
Q8L5K1	Q8L5K1	Q8L5K1_CITLI	2708	Citrus limon (Lemon) (Citrus medica var. limon)
Q6ZH94	Q6ZH94	LINS_ORYSJ	39947	Oryza sativa subsp. japonica (Rice)
Q6Z5J6	Q6Z5J6	KSL5_ORYSJ	39947	Oryza sativa subsp. japonica (Rice)
Q6Z5I0	Q6Z5I0	CPS2_ORYSJ	39947	Oryza sativa subsp. japonica (Rice)
Q6Z2X6	Q6Z2X6	CAS_ORYSJ	39947	Oryza sativa subsp. japonica (Rice)
Q6YN71	Q6YN71	Q6YN71_9ASTR	190261	[Ixeris] dentata var. albiflora
Q6WP50	Q6WP50	BOT2_BOTFU	40559	Botryotinia fuckeliana (Noble rot fungus) (Botrytis cinerea)
Q6ET36	Q6ET36	CPS1_ORYSJ	39947	Oryza sativa subsp. japonica (Rice)
Q6E7D7	Q6E7D7	CPS4_ORYSI	39946	Oryza sativa subsp. indica (Rice)
Q6BDZ9	Q6BDZ9	KSL8_ORYSJ	39947	Oryza sativa subsp. japonica (Rice)
Q66QH3	Q66QH3	KSL4_ORYSI	39946	Oryza sativa subsp. indica (Rice)
Q5W283	Q5W283	TPSCM_MENPI	34256	Mentha piperita (Peppermint) (Mentha aquatica x Mentha spicata)
Q5MQ85	Q5MQ85	CPS2_ORYSI	39946	Oryza sativa subsp. indica (Rice)
Q4WR16	Q4WR16	HELA_ASPFU	330879	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)
Q4JHG3	Q4JHG3	GRNLC_PERFH	608512	Perilla frutescens var. hirtella (Perilla citriodora) (Perilla setoyensis)
Q2R712	Q2R712	ACBSY_ORYSJ	39947	Oryza sativa subsp. japonica (Rice)
Q2QQJ5	Q2QQJ5	KSL10_ORYSJ	39947	Oryza sativa subsp. japonica (Rice)
Q2QLV9	Q2QLV9	PSY2_ORYSJ	39947	Oryza sativa subsp. japonica (Rice)
Q1AHB2	Q1AHB2	KSL11_ORYSI	39946	Oryza sativa subsp. indica (Rice)
Q0JF02	Q0JF02	CPS4_ORYSJ	39947	Oryza sativa subsp. japonica (Rice)
Q0JEZ8	Q0JEZ8	KSL4_ORYSJ	39947	Oryza sativa subsp. japonica (Rice)
Q0JA82	Q0JA82	KS1_ORYSJ	39947	Oryza sativa subsp. japonica (Rice)
Q0E088	Q0E088	KSL7_ORYSJ	39947	Oryza sativa subsp. japonica (Rice)
Q00G37	Q00G37	KSL7_ORYSI	39946	Oryza sativa subsp. indica (Rice)
Q00909	Q00909	TRI5_GIBZE	229533	Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1) (Wheat head blight fungus) (Fusarium graminearum)
P9WEV6	P9WEV6	PAPS_PHOAM	1214568	Phomopsis amygdali (Fusicoccum amygdali)
