DATASET_COLORSTRIP
SEPARATOR COMMA
DATASET_LABEL,superkingdom unchar
COLOR,#2E2D97
COLOR_BRANCHES,1
STRIP_WIDTH,50
DATA
bfd_048834,#BF8F6B
bfd_043372,#C3CAD7
bfd_106074,#BF8F6B
bfd_026042,#BF8F6B
bfd_037158,#BF8F6B
bfd_019502,#BF8F6B
bfd_062899,#C3CAD7
bfd_010033,#C3CAD7
bfd_051353,#94CCFC
bfd_035500,#BF8F6B
bfd_007706,#BF8F6B
bfd_002311,#BF8F6B
bfd_021414,#BF8F6B
bfd_067269,#C3CAD7
bfd_084664,#BF8F6B
bfd_028055,#C3CAD7
bfd_011514,#BF8F6B
bfd_048646,#995FBC
bfd_063687,#BF8F6B
bfd_026622,#BF8F6B
bfd_064714,#BF8F6B
bfd_082404,#FF9481
bfd_027243,#BF8F6B
bfd_047166,#BF8F6B
bfd_032461,#BF8F6B
bfd_008333,#FF9481
bfd_109932,#BF8F6B
bfd_031724,#BF8F6B
bfd_001244,#BF8F6B
bfd_010234,#BF8F6B
bfd_158169,#BF8F6B
bfd_062655,#BF8F6B
bfd_005880,#BF8F6B
bfd_017719,#BF8F6B
bfd_076603,#BF8F6B
bfd_019507,#BF8F6B
bfd_073935,#BF8F6B
bfd_010296,#BEDF7C
bfd_063357,#BF8F6B
bfd_016672,#BF8F6B
bfd_061968,#BF8F6B
bfd_106474,#C3CAD7
bfd_000276,#C3CAD7
bfd_076349,#BF8F6B
bfd_000685,#BF8F6B
bfd_099534,#BF8F6B
bfd_204880,#995FBC
bfd_011685,#BF8F6B
bfd_002879,#C3CAD7
bfd_057233,#C3CAD7
bfd_112293,#BF8F6B
bfd_012683,#C3CAD7
bfd_007165,#BF8F6B
bfd_049114,#BF8F6B
bfd_036469,#BF8F6B
bfd_040283,#BF8F6B
bfd_011348,#C3CAD7
bfd_096905,#C3CAD7
bfd_053991,#BF8F6B
bfd_077697,#BF8F6B
bfd_014157,#BF8F6B
bfd_032448,#BF8F6B
bfd_056941,#BF8F6B
bfd_041410,#BF8F6B
bfd_056518,#995FBC
bfd_086180,#BF8F6B
bfd_009939,#C3CAD7
bfd_022931,#C3CAD7
bfd_067308,#BF8F6B
bfd_002626,#C3CAD7
bfd_084023,#BF8F6B
bfd_021633,#BF8F6B
bfd_015260,#C3CAD7
bfd_100214,#BF8F6B
bfd_000721,#BF8F6B
bfd_088548,#BF8F6B
bfd_029735,#BF8F6B
bfd_024929,#BF8F6B
bfd_075258,#BF8F6B
bfd_071114,#BF8F6B
bfd_033857,#BF8F6B
bfd_125338,#BF8F6B
bfd_067178,#C3CAD7
bfd_085327,#BF8F6B
bfd_061270,#C3CAD7
bfd_027246,#BF8F6B
bfd_040038,#BF8F6B
bfd_036757,#BF8F6B
bfd_033260,#BF8F6B
bfd_012630,#995FBC
bfd_060718,#BF8F6B
bfd_168170,#C3CAD7
bfd_029217,#C3CAD7
bfd_004471,#BF8F6B
bfd_087606,#BF8F6B
bfd_162103,#BF8F6B
bfd_111549,#BF8F6B
bfd_000927,#C3CAD7
bfd_190282,#BF8F6B
bfd_036007,#BF8F6B
bfd_135713,#C3CAD7
bfd_000907,#BF8F6B
bfd_216964,#BF8F6B
bfd_061489,#BF8F6B
bfd_007023,#BF8F6B
bfd_006821,#BF8F6B
bfd_039974,#BF8F6B
bfd_032949,#BF8F6B
bfd_115527,#BF8F6B
bfd_003055,#995FBC
bfd_114355,#BF8F6B
bfd_035297,#BF8F6B
bfd_141308,#2E2D97
bfd_021882,#BF8F6B
bfd_023135,#C3CAD7
bfd_002391,#C3CAD7
bfd_034004,#BF8F6B
bfd_087543,#FF9481
bfd_122003,#C3CAD7
bfd_024501,#C3CAD7
bfd_121575,#BF8F6B
bfd_070790,#BF8F6B
bfd_014688,#C3CAD7
bfd_032785,#BF8F6B
bfd_022885,#BF8F6B
bfd_004005,#BF8F6B
bfd_058118,#C3CAD7
bfd_036115,#995FBC
bfd_027581,#BF8F6B
bfd_028018,#C3CAD7
bfd_028140,#BF8F6B
bfd_060356,#BF8F6B
bfd_061904,#BF8F6B
bfd_077737,#BF8F6B
bfd_016430,#BF8F6B
bfd_066852,#BF8F6B
bfd_045749,#BF8F6B
bfd_052618,#BF8F6B
bfd_006029,#BF8F6B
bfd_080852,#BF8F6B
bfd_005309,#995FBC
bfd_014324,#BF8F6B
bfd_031596,#BF8F6B
bfd_003722,#C3CAD7
bfd_056797,#C3CAD7
bfd_040041,#BF8F6B
bfd_060795,#BF8F6B
bfd_002806,#BF8F6B
bfd_057810,#BF8F6B
bfd_022568,#BF8F6B
bfd_063441,#BF8F6B
bfd_067118,#C3CAD7
bfd_122223,#BF8F6B
bfd_038361,#BF8F6B
bfd_006972,#BF8F6B
bfd_010751,#BF8F6B
bfd_003430,#C3CAD7
bfd_003243,#C3CAD7
bfd_059429,#BF8F6B
bfd_037559,#BF8F6B
bfd_031620,#BF8F6B
bfd_083599,#BF8F6B
bfd_074909,#BF8F6B
bfd_000638,#C3CAD7
bfd_019794,#94CCFC
bfd_002983,#C3CAD7
bfd_029923,#BF8F6B
bfd_074759,#BF8F6B
bfd_022748,#BF8F6B
bfd_007020,#BF8F6B
bfd_067296,#FF9481
bfd_088552,#BF8F6B
bfd_036884,#C3CAD7
bfd_011918,#BF8F6B
bfd_077056,#BF8F6B
bfd_100987,#BF8F6B
bfd_052650,#BF8F6B
bfd_008503,#BF8F6B
bfd_003017,#BF8F6B
bfd_114588,#BF8F6B
bfd_021567,#C3CAD7
bfd_015731,#C3CAD7
bfd_015545,#BF8F6B
bfd_033292,#C3CAD7
bfd_035677,#BF8F6B
bfd_000154,#C3CAD7
bfd_138602,#C3CAD7
bfd_034618,#BF8F6B
bfd_159755,#C3CAD7
bfd_000716,#C3CAD7
bfd_102107,#BF8F6B
bfd_057225,#BF8F6B
bfd_067012,#BF8F6B
bfd_007176,#BF8F6B
bfd_016509,#BF8F6B
bfd_003355,#BF8F6B
bfd_003798,#BF8F6B
bfd_005732,#BF8F6B
bfd_001107,#C3CAD7
bfd_066252,#BF8F6B
bfd_010022,#BF8F6B
bfd_004756,#BF8F6B
bfd_013793,#BF8F6B
bfd_038240,#BF8F6B
bfd_006130,#BF8F6B
bfd_060199,#BF8F6B
bfd_032119,#C3CAD7
bfd_037293,#BF8F6B
bfd_005475,#C3CAD7
bfd_028251,#BF8F6B
bfd_001000,#BF8F6B
bfd_017120,#BF8F6B
bfd_002600,#BF8F6B
bfd_040419,#BF8F6B
bfd_100533,#BF8F6B
bfd_003110,#C3CAD7
bfd_177183,#FF9481
bfd_008243,#BF8F6B
bfd_209311,#BF8F6B
bfd_000623,#C3CAD7
bfd_078819,#BF8F6B
bfd_043500,#BF8F6B
bfd_020097,#BF8F6B
bfd_016932,#BF8F6B
bfd_033261,#BF8F6B
bfd_078987,#C3CAD7
bfd_000587,#C3CAD7
bfd_095563,#995FBC
bfd_089367,#BF8F6B
bfd_023609,#BF8F6B
bfd_045448,#995FBC
bfd_033921,#BF8F6B
bfd_070693,#BF8F6B
bfd_038729,#BF8F6B
bfd_052440,#BF8F6B
bfd_033194,#BF8F6B
bfd_089450,#BF8F6B
bfd_051280,#BF8F6B
bfd_038155,#BF8F6B
bfd_000045,#C3CAD7
bfd_078897,#BF8F6B
bfd_082019,#BF8F6B
bfd_041876,#BF8F6B
bfd_035196,#BF8F6B
bfd_003291,#BF8F6B
bfd_216439,#C3CAD7
bfd_034266,#BF8F6B
bfd_039049,#BF8F6B
