id	PF06330.14	PF01397.24	PF03936.19	PF00494.22	PF13249.9	PF19086.3	PF13243.9	0041184	0053354	0053355	0048261	0048806	0046340	0047573	superkingdom	kingdom	phylum
bfd_048834	0.0	0.0	0.0	1.0	0.0	0.0	0.0								Metagenome	environmental	unknown
bfd_043372	0.0	0.0	0.0	0.0	1.0	0.0	1.0								unknown	unknown	unknown
bfd_106074	0.0	0.0	0.0	0.0	1.0	0.0	1.0								Metagenome	environmental	unknown
bfd_026042	0.0	0.0	0.0	1.0	0.0	0.0	0.0								Metagenome	environmental	unknown
bfd_037158	0.0	0.0	0.0	0.0	1.0	0.0	1.0								Metagenome	environmental	unknown
bfd_019502	0.0	0.0	0.0	1.0	0.0	0.0	0.0								Metagenome	environmental	unknown
bfd_062899	0.0	0.0	0.0	1.0	0.0	0.0	0.0								unknown	unknown	unknown
bfd_010033	0.0	0.0	0.0	0.0	1.0	0.0	1.0								unknown	unknown	unknown
bfd_051353	0.0	0.0	0.0	1.0	0.0	0.0	0.0								Eukaryota	Metazoa	Nematoda
bfd_035500	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	Metagenome	environmental	unknown
bfd_007706	0.0	0.0	0.0	1.0	0.0	0.0	0.0								Metagenome	environmental	unknown
bfd_002311	0.0	0.0	0.0	1.0	0.0	0.0	0.0								Metagenome	environmental	unknown
bfd_021414	0.0	0.0	0.0	0.0	1.0	0.0	0.0								Metagenome	environmental	unknown
bfd_067269	0.0	0.0	0.0	0.0	0.0	0.0	1.0								unknown	unknown	unknown
bfd_084664	0.0	0.0	0.0	1.0	0.0	0.0	0.0								Metagenome	environmental	unknown
bfd_028055	0.0	0.0	0.0	0.0	0.0	0.0	1.0								unknown	unknown	unknown
bfd_011514	0.0	0.0	0.0	1.0	0.0	0.0	0.0								Metagenome	environmental	unknown
bfd_048646	0.0	0.0	0.0	0.0	1.0	0.0	1.0								Bacteria	unknown	Candidatus Kerfeldbacteria
bfd_063687	0.0	0.0	0.0	1.0	0.0	0.0	0.0								Metagenome	environmental	unknown
bfd_026622	0.0	0.0	0.0	0.0	1.0	0.0	1.0								Metagenome	environmental	unknown
bfd_064714	0.0	0.0	0.0	0.0	1.0	0.0	1.0								Metagenome	environmental	unknown
bfd_082404	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	Eukaryota	Fungi	Ascomycota
bfd_027243	0.0	0.0	0.0	1.0	0.0	0.0	0.0								Metagenome	environmental	unknown
bfd_047166	0.0	0.0	0.0	0.0	1.0	0.0	1.0								Metagenome	environmental	unknown
bfd_032461	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	Metagenome	environmental	unknown
bfd_008333	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	Eukaryota	Fungi	Basidiomycota
bfd_109932	0.0	0.0	0.0	0.0	1.0	0.0	1.0								Metagenome	environmental	unknown
bfd_031724	0.0	0.0	0.0	1.0	0.0	0.0	0.0								Metagenome	environmental	unknown
bfd_001244	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	Metagenome	environmental	unknown
bfd_010234	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	Metagenome	environmental	unknown
bfd_158169	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	Metagenome	environmental	unknown
