DATASET_COLORSTRIP
SEPARATOR COMMA
DATASET_LABEL,Novelty score
COLOR,#2E2D97
COLOR_BRANCHES,0
STRIP_WIDTH,50
DATA
onekp_000079,#33638d
onekp_000103,#2d718e
onekp_000207,#238a8d
onekp_000267,#33638d
onekp_000289,#2d718e
onekp_000465,#287d8e
onekp_000550,#1f968b
onekp_000630,#2d718e
onekp_000690,#238a8d
onekp_000693,#238a8d
onekp_000702,#404688
onekp_000746,#2d718e
onekp_000747,#2d718e
onekp_000818,#20a386
onekp_000856,#20a386
onekp_000870,#29af7f
onekp_000891,#287d8e
onekp_000934,#20a386
onekp_001083,#1f968b
onekp_001084,#238a8d
onekp_001164,#1f968b
onekp_001209,#238a8d
onekp_001312,#287d8e
onekp_001472,#33638d
onekp_001474,#238a8d
onekp_001492,#287d8e
onekp_001493,#33638d
onekp_001503,#404688
onekp_001504,#33638d
onekp_001586,#287d8e
onekp_001591,#2d718e
onekp_001593,#287d8e
onekp_001915,#238a8d
onekp_001987,#238a8d
onekp_001994,#2d718e
onekp_001998,#238a8d
onekp_002101,#2d718e
onekp_002149,#2d718e
onekp_002185,#33638d
onekp_002285,#287d8e
onekp_002362,#3dbc74
onekp_002367,#238a8d
onekp_002572,#287d8e
onekp_002619,#33638d
onekp_002661,#287d8e
onekp_002874,#287d8e
onekp_002910,#2d718e
onekp_003036,#33638d
onekp_003132,#287d8e
onekp_003220,#33638d
onekp_003512,#20a386
onekp_003513,#1f968b
onekp_003608,#287d8e
onekp_003613,#287d8e
onekp_003652,#1f968b
onekp_003665,#2d718e
onekp_003674,#1f968b
onekp_003920,#2d718e
onekp_003951,#39558c
onekp_003960,#33638d
onekp_004040,#39558c
onekp_004168,#1f968b
onekp_004199,#33638d
onekp_004200,#33638d
onekp_004287,#238a8d
onekp_004307,#287d8e
onekp_004310,#287d8e
onekp_004410,#287d8e
onekp_004547,#2d718e
onekp_004590,#2d718e
onekp_004657,#2d718e
onekp_004658,#33638d
onekp_004660,#33638d
onekp_004665,#2d718e
onekp_004682,#238a8d
onekp_004695,#33638d
onekp_004721,#287d8e
onekp_004730,#287d8e
onekp_004749,#287d8e
onekp_004757,#39558c
onekp_004797,#33638d
onekp_004799,#2d718e
onekp_004804,#287d8e
onekp_004885,#2d718e
onekp_004995,#404688
onekp_004997,#2d718e
onekp_005033,#287d8e
onekp_005100,#33638d
onekp_005139,#238a8d
onekp_005143,#287d8e
onekp_005211,#287d8e
onekp_005308,#287d8e
onekp_005405,#2d718e
onekp_005637,#287d8e
onekp_005662,#238a8d
onekp_005687,#33638d
onekp_005695,#39558c
onekp_005697,#39558c
onekp_005710,#238a8d
onekp_005713,#287d8e
onekp_005872,#1f968b
onekp_005904,#287d8e
onekp_005916,#238a8d
onekp_005983,#33638d
onekp_005996,#33638d
onekp_006087,#287d8e
onekp_006127,#2d718e
onekp_006150,#2d718e
onekp_006201,#2d718e
onekp_006231,#1f968b
onekp_006233,#33638d
onekp_006234,#287d8e
onekp_006237,#2d718e
onekp_006250,#1f968b
onekp_006357,#39558c
onekp_006365,#2d718e
onekp_006440,#287d8e
onekp_006495,#39558c
onekp_006555,#2d718e
onekp_006666,#2d718e
onekp_006741,#238a8d
onekp_006791,#29af7f
onekp_006886,#287d8e
onekp_006907,#2d718e
onekp_006924,#33638d
onekp_006959,#33638d
onekp_006975,#238a8d
onekp_006988,#238a8d
onekp_006994,#287d8e
onekp_007002,#238a8d
onekp_007061,#238a8d
onekp_007073,#1f968b
onekp_007086,#287d8e
onekp_007119,#238a8d
onekp_007170,#287d8e
onekp_007193,#287d8e
onekp_007231,#287d8e
onekp_007329,#33638d
onekp_007339,#238a8d
onekp_007392,#287d8e
onekp_007411,#2d718e
onekp_007485,#238a8d
onekp_007589,#33638d
onekp_007729,#20a386
onekp_007850,#287d8e
onekp_007868,#2d718e
onekp_007885,#287d8e
onekp_007908,#238a8d
onekp_007914,#2d718e
onekp_007945,#238a8d
onekp_007961,#238a8d
onekp_008044,#2d718e
onekp_008061,#287d8e
onekp_008072,#1f968b
onekp_008145,#33638d
onekp_008164,#287d8e
onekp_008171,#33638d
onekp_008215,#33638d
onekp_008243,#287d8e
onekp_008329,#287d8e
onekp_008359,#287d8e
onekp_008494,#287d8e
onekp_008517,#33638d
onekp_008592,#39558c
onekp_008638,#238a8d
onekp_008916,#2d718e
onekp_008930,#2d718e
onekp_008955,#287d8e
onekp_008999,#33638d
onekp_009048,#33638d
onekp_009143,#33638d
onekp_009322,#33638d
onekp_009325,#33638d
onekp_009362,#1f968b
onekp_009414,#2d718e
onekp_009555,#2d718e
onekp_009599,#1f968b
onekp_009683,#2d718e
onekp_009718,#33638d
onekp_009777,#287d8e
onekp_009780,#20a386
onekp_009790,#33638d
onekp_009791,#2d718e
onekp_009816,#287d8e
onekp_009881,#2d718e
onekp_009890,#2d718e
onekp_009923,#238a8d
onekp_010001,#2d718e
onekp_010009,#2d718e
onekp_010061,#2d718e
onekp_010201,#1f968b
onekp_010358,#33638d
onekp_010445,#20a386
onekp_010633,#33638d
onekp_010689,#287d8e
onekp_010812,#287d8e
onekp_010883,#287d8e
onekp_010950,#238a8d
onekp_011100,#2d718e
onekp_011243,#287d8e
onekp_011364,#39558c
onekp_011379,#238a8d
onekp_011586,#33638d
onekp_011657,#287d8e
onekp_011794,#2d718e
onekp_011814,#287d8e
onekp_011885,#1f968b
onekp_011925,#287d8e
onekp_012001,#287d8e
onekp_012037,#39558c
onekp_012099,#1f968b
onekp_012103,#29af7f
onekp_012139,#238a8d
onekp_012150,#287d8e
onekp_012177,#2d718e
onekp_012178,#39558c
onekp_012182,#33638d
onekp_012205,#20a386
onekp_012412,#2d718e
onekp_012545,#33638d
onekp_012547,#2d718e
onekp_012558,#33638d
onekp_012653,#2d718e
onekp_012684,#20a386
onekp_012727,#238a8d
onekp_012801,#238a8d
onekp_012859,#287d8e
onekp_012882,#1f968b
onekp_012939,#33638d
onekp_013036,#2d718e
onekp_013081,#287d8e
onekp_013099,#1f968b
onekp_013780,#39558c
onekp_013963,#404688
onekp_014959,#481467
onekp_015050,#39558c
onekp_017205,#404688
onekp_017916,#39558c
tsa_000040,#287d8e
tsa_000062,#238a8d
tsa_000121,#2d718e
tsa_000193,#287d8e
tsa_000286,#238a8d
tsa_000600,#2d718e
tsa_000605,#287d8e
tsa_000608,#238a8d
tsa_000629,#404688
tsa_000646,#1f968b
tsa_000653,#2d718e
tsa_000661,#33638d
tsa_000749,#39558c
tsa_000802,#287d8e
tsa_001451,#238a8d
tsa_001464,#1f968b
tsa_001503,#287d8e
tsa_001611,#33638d
tsa_001626,#2d718e
tsa_001632,#33638d
tsa_001643,#33638d
tsa_001680,#287d8e
tsa_001746,#39558c
tsa_001748,#404688
tsa_001750,#33638d
tsa_001859,#2d718e
tsa_001894,#238a8d
tsa_001909,#33638d
tsa_001933,#33638d
tsa_001934,#287d8e
tsa_001936,#2d718e
tsa_001953,#33638d
tsa_001954,#33638d
tsa_001955,#238a8d
tsa_002085,#33638d
tsa_002096,#2d718e
tsa_002098,#39558c
tsa_002100,#404688
tsa_002101,#39558c
tsa_002210,#287d8e
tsa_002261,#39558c
tsa_002405,#482576
tsa_002411,#404688
tsa_002438,#238a8d
tsa_002441,#238a8d
tsa_002564,#238a8d
tsa_002591,#287d8e
tsa_002662,#404688
tsa_002675,#33638d
tsa_002684,#33638d
tsa_002876,#1f968b
tsa_002934,#2d718e
tsa_002996,#33638d
tsa_003042,#1f968b
tsa_003051,#33638d
tsa_003406,#33638d
tsa_003448,#39558c
tsa_003513,#287d8e
tsa_003520,#39558c
tsa_003527,#404688
tsa_003533,#39558c
tsa_003562,#238a8d
tsa_003618,#2d718e
tsa_003631,#2d718e
tsa_003682,#39558c
tsa_003781,#2d718e
tsa_003784,#404688
tsa_003795,#238a8d
tsa_004044,#238a8d
tsa_004075,#1f968b
tsa_004076,#39558c
tsa_004077,#33638d
tsa_004096,#2d718e
tsa_004115,#287d8e
tsa_004118,#2d718e
tsa_004126,#1f968b
tsa_004177,#404688
tsa_004182,#404688
tsa_004213,#2d718e
tsa_004309,#2d718e
tsa_004411,#404688
tsa_004415,#404688
tsa_004428,#39558c
tsa_004439,#1f968b
tsa_004740,#39558c
tsa_004848,#39558c
tsa_004977,#238a8d
tsa_004989,#287d8e
tsa_004994,#287d8e
tsa_005089,#238a8d
tsa_005107,#1f968b
tsa_005131,#238a8d
tsa_005140,#238a8d
tsa_005256,#2d718e
tsa_005280,#2d718e
tsa_005321,#2d718e
tsa_005322,#404688
tsa_005346,#29af7f
tsa_005348,#39558c
tsa_005418,#2d718e
tsa_005422,#2d718e
tsa_005506,#238a8d
tsa_005519,#39558c
tsa_005530,#238a8d
tsa_005533,#1f968b
tsa_005534,#287d8e
tsa_005535,#238a8d
tsa_005538,#20a386
tsa_005540,#287d8e
tsa_005634,#20a386
tsa_005645,#29af7f
tsa_005707,#287d8e
tsa_005723,#238a8d
tsa_005772,#2d718e
tsa_005902,#287d8e
tsa_005912,#287d8e
tsa_006081,#404688
tsa_006087,#1f968b
tsa_006164,#238a8d
tsa_006308,#287d8e
